"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000064351",795930.951249787,0.129094480466283,0.313784368131481,0.411411445493646,0.68077086276604,0.830672590115899,"mt-Co1"
"ENSMUSG00000013643",324351.373790316,0.821265665643958,0.280333323057252,2.92960414654748,0.00339394058841195,0.0318192405288894,"Lypd8"
"ENSMUSG00000064370",304877.505984746,0.300016285935396,0.320874096719988,0.934996900660405,0.349789896681636,0.584934483264412,"mt-Cytb"
"ENSMUSG00000064341",227862.348533976,0.376166102168484,0.298314594759236,1.2609711652629,0.207319236144125,0.437899405383199,"mt-Nd1"
"ENSMUSG00000064363",177142.99694817,0.162224942059675,0.324630158886204,0.499722338233342,0.61727060118273,0.788438487363374,"mt-Nd4"
"ENSMUSG00000049382",122711.118827852,0.81987356541056,0.224540649276796,3.65133693187056,0.000260878720303738,0.00481798551997461,"Krt8"
"ENSMUSG00000053964",103946.757751281,0.532598460070795,0.2051471163834,2.59617814503139,0.00942671762429185,0.0651259949407499,"Lgals4"
"ENSMUSG00000064345",100969.003953026,0.193757464718554,0.337413536594983,0.574243305926201,0.565803168000139,0.753177806606385,"mt-Nd2"
"ENSMUSG00000119584",98901.235460979,0.0745591913432075,0.422598995477928,0.176430119666722,0.859956043718145,0.933411469993935,"Rn18s-rs5"
"ENSMUSG00000074115",98856.2357912591,0.640607227523116,0.326494647592627,1.96207574074051,0.0497536668401434,0.18882043584268,"Saa1"
"ENSMUSG00000037742",84553.1576469797,-0.159985233334449,0.105650847129567,-1.51428254179777,0.129954194498444,0.333468320410848,"Eef1a1"
"ENSMUSG00000020911",83035.7301524099,0.832570826852573,0.227576593427868,3.65842028967915,0.000253774642241591,0.0047327225765782,"Krt19"
"ENSMUSG00000026701",80797.7740476906,-0.777440448748555,0.324424718324045,-2.39636625952781,0.0165585350558465,0.0944886648738338,"Prdx6"
"ENSMUSG00000029580",78597.7474042299,0.89979223815574,0.1968455846258,4.57105624119652,4.85272008942956e-06,0.000209860799311663,"Actb"
"ENSMUSG00000037390",73775.2752112931,0.0278250939274007,0.225830461521077,0.123212314848871,0.901938974036183,0.954425381226938,"Muc3"
"ENSMUSG00000064367",72170.560698614,0.313566894852081,0.411262785823937,0.762448987996498,0.445792077923075,0.667141935942738,"mt-Nd5"
"ENSMUSG00000078664",73074.4077697354,0.971548167616098,0.308391395232765,3.15037378680037,0.00163061694117183,0.0189689109241098,"Sprr2a1"
"ENSMUSG00000047517",72628.2976578342,1.54491965479179,0.27789332433215,5.55939822773589,2.70706393007949e-08,2.82382465453622e-06,"Dmbt1"
"ENSMUSG00000068893",57036.9434287381,1.19688824127665,0.322983188959104,3.7057292211831,0.000210783399323002,0.00409592920792958,"Sprr2a2"
"ENSMUSG00000026417",53944.6600672672,0.0216612688240929,0.257195603613267,0.0842209918046031,0.932880728435015,0.96843507378274,"Pigr"
"ENSMUSG00000000308",54251.6238343874,0.0629797382716995,0.309531512402008,0.203467937021881,0.838769304048663,0.921956648758909,"Ckmt1"
"ENSMUSG00000026208",51577.0291273907,-1.16770693676667,0.719667451567068,-1.62256460845075,0.104682511292961,0.29504119312602,"Des"
"ENSMUSG00000049350",51378.1112912202,-0.151105522977087,0.603618379122632,-0.250332872893501,0.802329936680009,0.900592744339667,"Zg16"
"ENSMUSG00000024661",50859.4900437527,-0.0534761850405528,0.146456049404506,-0.365134695753356,0.715010862781347,0.851505586468918,"Fth1"
"ENSMUSG00000064339",48445.2284961013,-1.32341028903156,0.662255891476025,-1.99833675481839,0.0456801632942061,0.178939188877671,"mt-Rnr2"
"ENSMUSG00000074445",50638.4239860564,1.80861018758788,0.314487855187282,5.75096989519938,8.87329162134642e-09,1.14462373327265e-06,"Sprr2a3"
"ENSMUSG00000022824",49717.5684662539,1.15262215478473,0.273831507092122,4.20923861912269,2.56232671479049e-05,0.00080139468535915,"Muc13"
"ENSMUSG00000035783",47175.1923565324,-0.945462863455709,0.600393937442137,-1.57473752563804,0.115317042210587,0.311779095419405,"Acta2"
"ENSMUSG00000064368",47016.9788646731,0.624528221247829,0.300788685032403,2.07630224248811,0.0378660060423174,0.159677101148813,"mt-Nd6"
"ENSMUSG00000074227",46635.9094851234,0.35559669759734,0.199428422617871,1.78307932705613,0.0745733911242211,0.239666727460045,"Spint2"
"ENSMUSG00000000805",46240.6944266064,0.135833129006732,0.329996315851477,0.411620137807437,0.680617869025832,0.830672590115899,"Car4"
"ENSMUSG00000059430",42955.9286322287,-1.30766276445266,0.746291630343624,-1.7522141630485,0.0797369891894353,0.249227319684134,"Actg2"
"ENSMUSG00000034994",42357.3554313935,-0.129718128085727,0.0989781325657709,-1.31057360573589,0.190001861384113,0.416054581093551,"Eef2"
"ENSMUSG00000060126",41394.6286966709,-0.0223206716021471,0.0965873034127592,-0.231093226681785,0.817242377044013,0.908455997563572,"Tpt1"
"ENSMUSG00000067274",41709.0108023982,0.336399958962737,0.133848349740148,2.51329179340515,0.0119610357808724,0.0764837535533385,"Rplp0"
"ENSMUSG00000024610",40969.01840462,0.115110991761456,0.407243553117272,0.282658843535599,0.777438368209768,0.886698701862387,"Cd74"
"ENSMUSG00000025515",38637.9434603757,-0.511739754578068,0.461403212488288,-1.109094476864,0.267389427301851,0.503909894513167,"Muc2"
"ENSMUSG00000092274",40028.2707453549,0.59676141934069,0.244795233019293,2.43779836715063,0.0147770138469705,0.0877515195135233,"Neat1"
"ENSMUSG00000062825",39190.0301276286,0.483970460336101,0.154431975267604,3.13387470112626,0.00172514504143758,0.0197419400914361,"Actg1"
"ENSMUSG00000061232",37356.6868094579,-0.0998548113886948,0.201031478826887,-0.496712315759673,0.619391936286003,0.789788159741405,"H2-K1"
"ENSMUSG00000030695",37644.7820504019,0.311708596438701,0.136230964482444,2.28808918459114,0.0221323279562873,0.11322615097012,"Aldoa"
"ENSMUSG00000090841",37082.6957526358,0.0533789260256825,0.226225065323858,0.235954959054898,0.813467620854685,0.906159876895277,"Myl6"
"ENSMUSG00000032518",36844.7079879882,0.325845787063291,0.161862430540752,2.01310326290481,0.0441037670504609,0.175022996959239,"Rpsa"
"ENSMUSG00000027401",36561.8742920298,-0.659636191827563,0.430805784307927,-1.53116837297634,0.125727785132667,0.327741590106231,"Tgm3"
"ENSMUSG00000047730",35449.7906061758,-0.281584738216626,0.557448153331673,-0.505131708722493,0.61346633162269,0.785927411151681,"Fcgbp"
"ENSMUSG00000018830",34465.9715943634,-1.29640273145621,0.675919886271545,-1.91798282279772,0.0551131892336275,0.200023685261024,"Myh11"
"ENSMUSG00000050335",35539.8810158127,0.949188827244449,0.17623458922084,5.38593945400252,7.20672214587825e-08,6.5463932985406e-06,"Lgals3"
"ENSMUSG00000007892",33905.9014680267,0.39272453038756,0.154653457218414,2.5393841007571,0.0111047831859314,0.0732028849947597,"Rplp1"
"ENSMUSG00000021749",33527.6256579625,0.0734167446478061,0.211896332459904,0.346474824719765,0.728985900896798,0.860075399557311,"Fam3d"
"ENSMUSG00000045394",33823.9756989523,0.503639848087329,0.204649512149817,2.46098728893442,0.013855527483859,0.0838955041583393,"Epcam"
"ENSMUSG00000033161",32887.7451369847,-0.19241676191844,0.201283325628945,-0.955949834976148,0.339097579518398,0.575211539238455,"Atp1a1"
"ENSMUSG00000031328",30894.0876054433,-0.78123561537185,0.553748031062145,-1.41081425404504,0.158299390401164,0.374868138976973,"Flna"
"ENSMUSG00000063229",31980.451063037,0.55922785219283,0.207371974139191,2.69673785242295,0.0070022370380424,0.052627660398747,"Ldha"
"ENSMUSG00000001025",31765.7571038102,0.944117036191924,0.215881884241119,4.37330366793277,1.22380305847965e-05,0.000452021421502649,"S100a6"
"ENSMUSG00000074272",31833.8225275894,0.807883618671153,0.225262134631643,3.5864155331398,0.000335254589725054,0.00583927374855977,"Ceacam1"
"ENSMUSG00000030762",31028.4193298121,0.556572190516601,0.321637321304642,1.73043410590227,0.0835527447078609,0.256425615628635,"Aqp8"
"ENSMUSG00000032366",29874.9590785698,-0.816247194575171,0.513645818711222,-1.58912457736578,0.112032270036597,0.306872406095049,"Tpm1"
"ENSMUSG00000032294",30565.5976531173,0.245411537381342,0.150658847800801,1.62892217061039,0.103329496035697,0.292574270281537,"Pkm"
"ENSMUSG00000025393",29808.8661424533,-0.0255404249838544,0.144479769118569,-0.176775095500701,0.85968505186176,0.933411469993935,"Atp5b"
"ENSMUSG00000001349",28423.9766075276,-1.09050269747224,0.720353001103377,-1.51384487300239,0.130065188554634,0.333578904257028,"Cnn1"
"ENSMUSG00000028699",29043.5005220768,0.260541707963146,0.244326640274867,1.06636635149584,0.286258066186942,0.523708061514404,"Tspan1"
"ENSMUSG00000028255",28027.6167114135,-1.34252692122237,0.572893478995825,-2.34341456211993,0.0191081381012699,0.103470622319626,"Clca1"
"ENSMUSG00000073411",28313.1550271889,0.486684081823301,0.190193880847562,2.55888401695411,0.0105008769330047,0.0703703313000687,"H2-D1"
"ENSMUSG00000093674",27816.7760170013,0.491454356157162,0.171295360069885,2.86904651682718,0.00411711244039277,0.0363044030101517,"Rpl41"
"ENSMUSG00000028081",26830.7217255232,0.267795503566015,0.134699282656764,1.98809895854012,0.0468007465430818,0.181588426961048,"Rps3a1"
"ENSMUSG00000015932",27164.7408408,0.342571489016147,0.18868681947601,1.81555600951608,0.0694385068501455,0.229907578051973,"Dstn"
"ENSMUSG00000067818",26152.3960983855,-1.02956163834126,0.644522549729302,-1.59740204399935,0.110176117140459,0.304209335353264,"Myl9"
"ENSMUSG00000049775",26261.9971004646,0.612283136192952,0.251116795123542,2.43824048443963,0.0147589517702045,0.0877124993100664,"Tmsb4x"
"ENSMUSG00000064337",25059.3526638307,-0.870345371866888,0.782241998115712,-1.11262930648495,0.265867668460389,0.502116688534017,"mt-Rnr1"
"ENSMUSG00000028464",25493.3798419935,-0.947383679748587,0.655796876629424,-1.44462975276403,0.148561910988265,0.360809502380991,"Tpm2"
