"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000064351",795930.951249787,-0.353617503884462,0.313784287122324,-1.12694458708383,0.259765910301348,0.505141872339637,"mt-Co1"
"ENSMUSG00000013643",324351.373790316,0.560352348650976,0.280333258615496,1.99887930322086,0.0456214145980414,0.181821168056645,"Lypd8"
"ENSMUSG00000064370",304877.505984746,-0.154359218136773,0.320873841084254,-0.48105890344686,0.630474635253006,0.801393560094173,"mt-Cytb"
"ENSMUSG00000064341",227862.348533976,-0.104740051240144,0.298314134346531,-0.351106565800447,0.72550840234478,0.858047081911379,"mt-Nd1"
"ENSMUSG00000064363",177142.99694817,-0.269446699703093,0.324629757571826,-0.830012324558621,0.406531815522345,0.645224859102525,"mt-Nd4"
"ENSMUSG00000049382",122711.118827852,0.673217501157214,0.22454096160083,2.99819461160946,0.00271584188408124,0.0280093186537283,"Krt8"
"ENSMUSG00000053964",103946.757751281,0.327600771270707,0.205147118194114,1.59690652325286,0.110286545500255,0.309509292435972,"Lgals4"
"ENSMUSG00000064345",100969.003953026,-0.212580393320733,0.337412899461945,-0.630030427585086,0.528674676689181,0.737877655071407,"mt-Nd2"
"ENSMUSG00000119584",98901.235460979,-0.483007405718048,0.422598163228148,-1.1429472433776,0.253060495810957,0.498099966577663,"Rn18s-rs5"
"ENSMUSG00000074115",98856.2357912591,0.380876506660688,0.326494447457516,1.16656350399419,0.24338668910534,0.487831944559083,"Saa1"
"ENSMUSG00000037742",84553.1576469797,-0.177394006912723,0.105652960904922,-1.67902541862846,0.0931470899883459,0.278340237347209,"Eef1a1"
"ENSMUSG00000020911",83035.7301524099,0.72453981672553,0.227577324901119,3.18370829361115,0.00145401459300465,0.0180971595967999,"Krt19"
"ENSMUSG00000026701",80797.7740476906,-0.671492972347494,0.324425939224181,-2.06978817400753,0.0384721853068506,0.163630220378152,"Prdx6"
"ENSMUSG00000029580",78597.7474042299,0.841590783783526,0.196847131958814,4.27535202270363,1.90835520316052e-05,0.000777188751575512,"Actb"
"ENSMUSG00000037390",73775.2752112931,-0.287156190524558,0.225829769575782,-1.27156039287458,0.203529356826233,0.44111461593329,"Muc3"
"ENSMUSG00000064367",72170.560698614,-0.277073428285772,0.41126136470579,-0.673716162187971,0.500491784532547,0.717352441539856,"mt-Nd5"
"ENSMUSG00000078664",73074.4077697354,1.26471095267325,0.308396082631499,4.10093066643925,4.11491847726088e-05,0.00138311808778873,"Sprr2a1"
"ENSMUSG00000047517",72628.2976578342,1.51118644736259,0.27789512053819,5.43797402572571,5.38898282415876e-08,8.27823396637441e-06,"Dmbt1"
"ENSMUSG00000068893",57036.9434287381,1.1688026440229,0.322984986511868,3.61875224184749,0.000296026875713104,0.00583786334176563,"Sprr2a2"
"ENSMUSG00000026417",53944.6600672672,0.158287358813153,0.257198412486302,0.615428988394642,0.538271452248352,0.744269838151469,"Pigr"
"ENSMUSG00000000308",54251.6238343874,0.0477778543818109,0.309532881450261,0.154354697820652,0.877330071403366,0.942160066867955,"Ckmt1"
"ENSMUSG00000026208",51577.0291273907,-0.231323810364861,0.719671439468005,-0.321429749297624,0.747884741566085,0.870147864701283,"Des"
"ENSMUSG00000049350",51378.1112912202,-0.411601843548909,0.603618500283005,-0.681890703078071,0.495308064505089,0.713074221112555,"Zg16"
"ENSMUSG00000024661",50859.4900437527,0.0449456732430866,0.146460595282315,0.306878946903433,0.758935514324191,0.875510258872103,"Fth1"
"ENSMUSG00000064339",48445.2284961013,-1.56950484139967,0.662256176232782,-2.36993613306521,0.0177911582048126,0.0993222529577752,"mt-Rnr2"
"ENSMUSG00000074445",50638.4239860564,1.66912854185354,0.314488930160261,5.30743177829175,1.11180596776782e-07,1.53306662264173e-05,"Sprr2a3"
"ENSMUSG00000022824",49717.5684662539,0.948402811027648,0.273831523494199,3.46345372850302,0.000533288307070648,0.00896251903399346,"Muc13"
"ENSMUSG00000035783",47175.1923565324,-0.390283973808135,0.600397199957441,-0.650042961285962,0.515664471383397,0.728486303877545,"Acta2"
"ENSMUSG00000064368",47016.9788646731,0.0794634005303176,0.300785617576064,0.26418617077069,0.791636466757321,0.897654809412652,"mt-Nd6"
"ENSMUSG00000074227",46635.9094851234,0.252521490566381,0.199429813395433,1.26621735369966,0.205435276216325,0.442561515204858,"Spint2"
"ENSMUSG00000000805",46240.6944266064,-0.16041289367675,0.329995590376683,-0.486106173399597,0.626891890160927,0.799615988388945,"Car4"
