"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000064351",795930.951249787,-0.177684789465495,0.313784410412943,-0.566263917419163,0.57121438513701,0.864379491616941,"mt-Co1"
"ENSMUSG00000013643",324351.373790316,-0.113259169483876,0.280332500766113,-0.404017262266607,0.686200025294113,0.914077788069671,"Lypd8"
"ENSMUSG00000064370",304877.505984746,-0.152180136144654,0.320873961428249,-0.474267639129339,0.635309065056101,0.894384414128034,"mt-Cytb"
"ENSMUSG00000064341",227862.348533976,-0.216622954986764,0.298314120881014,-0.726157227646512,0.46774238962846,0.808706714196908,"mt-Nd1"
"ENSMUSG00000064363",177142.99694817,-0.204599455918687,0.324630081084611,-0.630254150308887,0.52852831565021,0.839690632278896,"mt-Nd4"
"ENSMUSG00000049382",122711.118827852,0.171009493645164,0.224539100971172,0.761602290672391,0.44629740726432,0.797401732441516,"Krt8"
"ENSMUSG00000053964",103946.757751281,0.126290038495948,0.20514655383293,0.615608871493879,0.538152694693442,0.845251048211545,"Lgals4"
"ENSMUSG00000064345",100969.003953026,-0.257779283645326,0.33741308788163,-0.763987210050842,0.444874864495028,0.796712508483926,"mt-Nd2"
"ENSMUSG00000119584",98901.235460979,-0.351148507008952,0.422598758961179,-0.830926498393266,0.406015153124333,0.77295047650292,"Rn18s-rs5"
"ENSMUSG00000074115",98856.2357912591,-0.239404859143304,0.326492577205514,-0.733262793268981,0.463398163304671,0.806350668405683,"Saa1"
"ENSMUSG00000037742",84553.1576469797,0.167913431734922,0.105659335979531,1.58919635617861,0.112016068882185,0.468316465035957,"Eef1a1"
"ENSMUSG00000020911",83035.7301524099,0.342028784172562,0.227575357277376,1.50292539695186,0.132858283033774,0.502553198524844,"Krt19"
"ENSMUSG00000026701",80797.7740476906,-0.786225115836403,0.324425892281468,-2.42343516513868,0.0153744973667465,0.267461551281205,"Prdx6"
"ENSMUSG00000029580",78597.7474042299,-0.165800939986676,0.196839655440805,-0.842314723704322,0.399611811668422,0.769901326362466,"Actb"
"ENSMUSG00000037390",73775.2752112931,0.00889777716488911,0.225832576421705,0.0393998833377962,0.968571572921654,0.991605441755694,"Muc3"
"ENSMUSG00000064367",72170.560698614,-0.184703947673854,0.411262080876245,-0.449114947043792,0.653348738500598,0.903115419003085,"mt-Nd5"
"ENSMUSG00000078664",73074.4077697354,-0.640608603280222,0.308384699645295,-2.07730345901418,0.037773560031158,0.324839665560801,"Sprr2a1"
"ENSMUSG00000047517",72628.2976578342,0.1655332327899,0.277885924262741,0.59568772052444,0.551383862953703,0.851352458287865,"Dmbt1"
"ENSMUSG00000068893",57036.9434287381,-0.0189611990053048,0.322976895848117,-0.0587076018410354,0.953185004390181,0.987407503047284,"Sprr2a2"
"ENSMUSG00000026417",53944.6600672672,0.0342230446032767,0.25719822522206,0.133060967173196,0.894145164270768,0.973600277010785,"Pigr"
"ENSMUSG00000000308",54251.6238343874,-0.281240745753685,0.309531309260339,-0.908601932469262,0.363560286138493,0.74498854874561,"Ckmt1"
"ENSMUSG00000026208",51577.0291273907,-1.12628665650379,0.71966875035338,-1.56500703407053,0.11758126000151,0.477697457977458,"Des"
"ENSMUSG00000049350",51378.1112912202,0.217351948141058,0.603621437008221,0.360079902427484,0.7187873816934,0.925792295892076,"Zg16"
"ENSMUSG00000024661",50859.4900437527,-0.0905173929696672,0.146460068883228,-0.618034619673956,0.536552518142945,0.844507507622601,"Fth1"
"ENSMUSG00000064339",48445.2284961013,-1.02012529134303,0.662258311347224,-1.54037370896532,0.123469286176876,0.488550312227592,"mt-Rnr2"
"ENSMUSG00000074445",50638.4239860564,-0.197798447248696,0.314472104749711,-0.628985669193533,0.529358438318555,0.840105200449954,"Sprr2a3"
"ENSMUSG00000022824",49717.5684662539,-0.147504723971072,0.273822153758038,-0.538688056998538,0.590102115864308,0.871741898917242,"Muc13"
"ENSMUSG00000035783",47175.1923565324,-1.11596838375045,0.600394658466778,-1.85872470384777,0.0630661699794299,0.380200963266811,"Acta2"
"ENSMUSG00000064368",47016.9788646731,-0.0438268657544221,0.300785459797308,-0.145708059771094,0.88415185850294,0.971896417907377,"mt-Nd6"
"ENSMUSG00000074227",46635.9094851234,-0.172940970738163,0.199425702382532,-0.867194993784867,0.385835178785744,0.760601024858558,"Spint2"
"ENSMUSG00000000805",46240.6944266064,-0.721989445912792,0.329992423226943,-2.18789703973374,0.0286771029888383,0.304596157448188,"Car4"
"ENSMUSG00000059430",42955.9286322287,-1.18335243257477,0.746293309670344,-1.58563987810301,0.112821024657664,0.470046568675193,"Actg2"
"ENSMUSG00000034994",42357.3554313935,0.128074327955084,0.0989939582353833,1.29375903578433,0.195748666383798,0.591577273367782,"Eef2"
"ENSMUSG00000060126",41394.6286966709,0.105316967779198,0.096600298496617,1.09023439283561,0.275609906850024,0.672722063984769,"Tpt1"
"ENSMUSG00000067274",41709.0108023982,0.238120685227379,0.133852988204081,1.77897175417798,0.0752443928967637,0.405828067938937,"Rplp0"
